39,0,10
39,1,10
39,2,10
39,3,10
40,0,12
40,1,13
40,2,12
40,3,11
40,4,10
40,5,11
40,6,11
41,0,14
41,1,13
41,2,14
41,3,14
41,4,13
41,5,11
41,6,11
41,7,11
42,0,18
42,1,16
42,2,16
42,3,18
42,4,16
42,5,15
42,6,12
42,7,11
42,8,11
43,0,21
43,1,20
43,2,17
43,3,18
43,4,18
43,5,17
43,6,16
43,7,12
43,8,11
43,9,11
44,0,25
44,1,22
44,2,19
44,3,19
44,4,19
44,5,19
44,6,16
44,7,17
44,8,13
44,9,12
45,0,28
45,1,25
45,2,21
45,3,22
45,4,20
45,5,20
45,6,19
45,7,17
45,8,16
45,9,14
45,10,12
46,0,36
46,1,32
46,2,28
46,3,24
46,4,22
46,5,20
46,6,20
46,7,17
46,8,16
46,9,15
46,10,13
46,11,12
47,0,42
47,1,36
47,2,31
47,3,26
47,4,24
47,5,23
47,6,20
47,7,20
47,8,18
47,9,16
47,10,13
47,11,12
47,12,12
48,0,44
48,1,41
48,2,34
48,3,33
48,4,28
48,5,24
48,6,21
48,7,21
48,8,19
48,9,19
48,10,16
48,11,12
48,12,12
48,13,11
49,0,49
49,1,47
49,2,40
49,3,35
49,4,31
49,5,26
49,6,22
49,7,22
49,8,21
49,9,20
49,10,17
49,11,16
49,12,14
49,13,11
50,0,56
50,1,51
50,2,45
50,3,40
50,4,32
50,5,29
50,6,25
50,7,23
50,8,22
50,9,22
50,10,17
50,11,17
50,12,17
50,13,14
50,14,11
50,16,10
51,0,58
51,1,55
51,2,54
51,3,45
51,4,42
51,5,35
51,6,33
51,7,31
51,8,29
51,9,27
51,10,25
51,11,25
51,12,23
51,13,19
51,14,16
51,15,13
51,16,12
51,17,12
51,18,11
51,19,11
52,0,65
52,1,61
52,2,58
52,3,56
52,4,50
52,5,45
52,6,37
52,7,36
52,8,32
52,9,32
52,10,30
52,11,27
52,12,27
52,13,25
52,14,19
52,15,17
52,16,15
52,17,13
52,18,14
52,19,13
52,20,12
53,0,68
53,1,67
53,2,58
53,3,58
53,4,59
53,5,49
53,6,44
53,7,42
53,8,36
53,9,35
53,10,33
53,11,32
53,12,31
53,13,29
53,14,24
53,15,19
53,16,16
53,17,14
53,18,15
53,19,14
53,20,13
53,21,12
54,0,72
54,1,70
54,2,64
54,3,65
54,4,60
54,5,56
54,6,53
54,7,47
54,8,42
54,9,37
54,10,36
54,11,38
54,12,34
54,13,31
54,14,27
54,15,24
54,16,19
54,17,16
54,18,16
54,19,15
54,20,15
54,21,14
54,22,12
55,0,75
55,1,72
55,2,69
55,3,65
55,4,62
55,5,62
55,6,56
55,7,51
55,8,46
55,9,41
55,10,40
55,11,38
55,12,36
55,13,33
55,14,29
55,15,26
55,16,21
55,17,19
55,18,16
55,19,15
55,20,15
55,21,14
55,22,14
55,23,11
56,0,76
56,1,78
56,2,71
56,3,71
56,4,69
56,5,67
56,6,62
56,7,58
56,8,51
56,9,44
56,10,40
56,11,39
56,12,35
56,13,35
56,14,30
56,15,28
56,16,23
56,17,18
56,18,17
56,19,15
56,20,15
56,21,14
56,22,14
56,23,12
57,0,81
57,1,77
57,2,76
57,3,71
57,4,74
57,5,67
57,6,67
57,7,62
57,8,54
57,9,47
57,10,44
57,11,40
57,12,39
57,13,35
57,14,32
57,15,32
57,16,28
57,17,21
57,18,18
57,19,17
57,20,16
57,21,16
57,22,14
57,23,13
57,24,11
58,0,81
58,1,79
58,2,72
58,3,79
58,4,73
58,5,72
58,6,68
58,7,63
58,8,58
58,9,53
58,10,49
58,11,42
58,12,37
58,13,36
58,14,34
58,15,31
58,16,25
58,17,22
58,18,18
58,19,16
58,20,16
58,21,15
58,22,15
58,23,13
58,24,12
59,0,81
59,1,77
59,2,74
59,3,79
59,4,79
59,5,76
59,6,69
59,7,66
59,8,60
59,9,57
59,10,50
59,11,43
59,12,38
59,13,37
59,14,34
59,15,32
59,16,25
59,17,22
59,18,17
59,19,16
59,20,16
59,21,15
59,22,15
59,23,13
59,24,11
60,0,81
60,1,84
60,2,75
60,3,78
60,4,79
60,5,77
60,6,75
60,7,70
60,8,61
60,9,56
60,10,54
60,11,49
60,12,41
60,13,40
60,14,33
60,15,31
60,16,27
60,17,22
60,18,19
60,19,16
60,20,16
60,21,15
60,22,15
60,23,13
60,24,12
60,25,11
